Filename:, Arrigetch_Peaks_Environmental_Data.csv,,,,,,,,,,,
Data_Last_Modified:, 10/26/2016,,,,,,,,,,,
Data_Set_Name:, Pre-ABoVE: Arctic Vegetation Plots at Arrigetch Peaks, Alaska, 1978-1981,,,,,,,,,,,
Documentation_Link:, http://dx.doi.org/10.3334/ORNLDAAC/1358,,,,,,,,,,,
Missing Value Code:, -9999 for numeric columns.  As described for character columns.,,,,,,,,,,,
,,,,,,,,,,,
FIELD_RELEVE_NUMBER,TURBOVEG_ACCESSION_NUMBER,PLANT_COMMUNITY_NAME,ELEVATION,ASPECT,SLOPE,COVER_LITTER_LAYER,COVER_OPEN_WATER,COVER_ROCK,COVER_CRUST,COVER_BARE_SOIL,REMARKS
272,11004,Ass. Elymo innovati-Salicetum alaxensis,960,135,-9999,85,0,8,0,6,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
273,11005,Ass. Elymo innovati-Salicetum alaxensis,900,135,-9999,65,0,1,0,25,"Cetraria islandica = original Cetraria islandica reticulata. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
274,11006,Ass. Elymo innovati-Salicetum alaxensis,950,135,-9999,40,0,1,0,15,"Cetraria islandica in seedlings layer = original Cetraria islandica reticulata. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
275,11007,Ass. Elymo innovati-Salicetum alaxensis,940,135,-9999,65,0,1,0,25,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
471,11008,Ass. Elymo innovati-Salicetum alaxensis,1020,135,-9999,5,0,0,0,25,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
264,11009,Ass. Elymo innovati-Salicetum alaxensis,970,135,-9999,75,0,5,0,20,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
170,11010,Ass. Elymo innovati-Salicetum alaxensis,1150,90,-9999,85,0,4,0,10,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
253,11011,Ass. Elymo innovati-Salicetum alaxensis,910,135,-9999,75,0,0,0,15,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
254,11012,Ass. Elymo innovati-Salicetum alaxensis,920,135,-9999,60,0,25,0,10,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
140,11013,Ass. Hedysaro alpini-Elymetum innovati,1280,135,-9999,70,0,3,0,15,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are abundant on moderately dry, mid to upper limestone slopes with deep and fairly stable soil. Slopes can be steep (Cooper 1986)."
141,11014,Ass. Hedysaro alpini-Elymetum innovati,1290,135,-9999,75,0,2,0,10,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are abundant on moderately dry, mid to upper limestone slopes with deep and fairly stable soil. Slopes can be steep (Cooper 1986)."
165,11015,Ass. Hedysaro alpini-Elymetum innovati,1220,180,-9999,60,0,15,0,20,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are abundant on moderately dry, mid to upper limestone slopes with deep and fairly stable soil. Slopes can be steep (Cooper 1986)."
168,11016,Ass. Hedysaro alpini-Elymetum innovati,1210,135,-9999,90,0,2,0,3,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are abundant on moderately dry, mid to upper limestone slopes with deep and fairly stable soil. Slopes can be steep (Cooper 1986)."
172,11017,Ass. Hedysaro alpini-Elymetum innovati,1200,90,-9999,50,0,1,0,3,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are abundant on moderately dry, mid to upper limestone slopes with deep and fairly stable soil. Slopes can be steep (Cooper 1986)."
215,11018,Ass. Hedysaro alpini-Elymetum innovati,1220,180,-9999,50,0,7,0,12,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are abundant on moderately dry, mid to upper limestone slopes with deep and fairly stable soil. Slopes can be steep (Cooper 1986)."
218,11019,Ass. Hedysaro alpini-Elymetum innovati,-9999,-9999,-9999,65,0,15,0,10,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are abundant on moderately dry, mid to upper limestone slopes with deep and fairly stable soil. Slopes can be steep (Cooper 1986)."
142,11020,Ass. Hedysaro alpini-Elymetum innovati,1270,135,-9999,65,0,6,0,25,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are abundant on moderately dry, mid to upper limestone slopes with deep and fairly stable soil. Slopes can be steep (Cooper 1986)."
263,11021,Ass. Hedysaro alpini-Caricetum franklini,1150,180,-9999,80,0,2,0,15,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
219,11022,Ass. Hedysaro alpini-Caricetum franklini,1090,135,-9999,80,0,10,0,5,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
220,11023,Ass. Hedysaro alpini-Caricetum franklini,1070,180,-9999,90,0,7,0,3,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
221,11024,Ass. Hedysaro alpini-Caricetum franklini,1080,180,-9999,65,0,15,0,10,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
222,11025,Ass. Hedysaro alpini-Caricetum franklini,-9999,-9999,-9999,45,0,5,0,10,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
391,11026,Ass. Hedysaro alpini-Caricetum franklini,-9999,-9999,-9999,30,0,3,0,5,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
266,11027,Ass. Hedysaro alpini-Caricetum franklini,1030,180,-9999,65,0,20,0,15,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
267,11028,Ass. Hedysaro alpini-Caricetum franklini,1040,180,-9999,40,0,25,0,25,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
268,11029,Ass. Hedysaro alpini-Caricetum franklini,1040,135,-9999,65,0,15,0,15,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
269,11030,Ass. Hedysaro alpini-Caricetum franklini,1050,225,-9999,65,0,10,0,20,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
270,11031,Ass. Hedysaro alpini-Caricetum franklini,1050,180,-9999,70,0,10,0,20,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Carex franklinii was almost totally restricted to stands assigned this association that occur at the toe of solifluction loges on mesic limestone slopes (Cooper 1986)."
262,11032,Ass. Androsaco chamaejasmae-Arctostaphyletum rubrae,850,135,-9999,75,0,8,0,15,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Arctostaphylos rubra reaches its optimum in this association and may form an almost continuous carpet. Stands occupy the most stable limestone alluvial fans. Soils are circumneutral in reaction indicating a mixture of granitic and limestone parent material (Cooper 1986)."
276,11033,Ass. Androsaco chamaejasmae-Arctostaphyletum rubrae,970,135,-9999,45,0,6,0,35,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Arctostaphylos rubra reaches its optimum in this association and may form an almost continuous carpet. Stands occupy the most stable limestone alluvial fans. Soils are circumneutral in reaction indicating a mixture of granitic and limestone parent material (Cooper 1986)."
277,11034,Ass. Androsaco chamaejasmae-Arctostaphyletum rubrae,950,135,-9999,60,0,2,0,30,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Arctostaphylos rubra reaches its optimum in this association and may form an almost continuous carpet. Stands occupy the most stable limestone alluvial fans. Soils are circumneutral in reaction indicating a mixture of granitic and limestone parent material (Cooper 1986)."
276,11035,Ass. Androsaco chamaejasmae-Arctostaphyletum rubrae,950,135,-9999,60,0,3,0,35,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Arctostaphylos rubra reaches its optimum in this association and may form an almost continuous carpet. Stands occupy the most stable limestone alluvial fans. Soils are circumneutral in reaction indicating a mixture of granitic and limestone parent material (Cooper 1986)."
279,11036,Ass. Androsaco chamaejasmae-Arctostaphyletum rubrae,960,135,-9999,70,0,2,0,25,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Arctostaphylos rubra reaches its optimum in this association and may form an almost continuous carpet. Stands occupy the most stable limestone alluvial fans. Soils are circumneutral in reaction indicating a mixture of granitic and limestone parent material (Cooper 1986)."
280,11037,Ass. Androsaco chamaejasmae-Arctostaphyletum rubrae,960,135,-9999,75,0,1,0,15,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Arctostaphylos rubra reaches its optimum in this association and may form an almost continuous carpet. Stands occupy the most stable limestone alluvial fans. Soils are circumneutral in reaction indicating a mixture of granitic and limestone parent material (Cooper 1986)."
99,11038,Ass. Androsaco chamaejasmae-Arctostaphyletum rubrae,-9999,-9999,-9999,75,0,5,5,5,"Cladonia acuminata=in original Cladonia norrlinii. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Arctostaphylos rubra reaches its optimum in this association and may form an almost continuous carpet. Stands occupy the most stable limestone alluvial fans. Soils are circumneutral in reaction indicating a mixture of granitic and limestone parent material (Cooper 1986)."
213,11039,Ass. Androsaco chamaejasmae-Arctostaphyletum rubrae,1020,135,-9999,85,0,6,0,4,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Arctostaphylos rubra reaches its optimum in this association and may form an almost continuous carpet. Stands occupy the most stable limestone alluvial fans. Soils are circumneutral in reaction indicating a mixture of granitic and limestone parent material (Cooper 1986)."
337,11040,Ass. Androsaco chamaejasmae-Arctostaphyletum rubrae,1010,270,-9999,75,0,4,0,10,"Hedysaro alpini-Caricetum franklinii - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Arctostaphylos rubra reaches its optimum in this association and may form an almost continuous carpet. Stands occupy the most stable limestone alluvial fans. Soils are circumneutral in reaction indicating a mixture of granitic and limestone parent material (Cooper 1986)."
338,11041,Ass. Androsaco chamaejasmae-Arctostaphyletum rubrae,1040,270,-9999,65,0,5,0,5,"Hedysaro alpini-Caricetum franklinii - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Arctostaphylos rubra reaches its optimum in this association and may form an almost continuous carpet. Stands occupy the most stable limestone alluvial fans. Soils are circumneutral in reaction indicating a mixture of granitic and limestone parent material (Cooper 1986)."
18,11042,Ass. Junipero communis-Betuletum glandulosae,910,225,-9999,85,0,2,0,0,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association occupy solifluction lobes at low elevation near treeline (Cooper 1986)."
265,11043,Ass. Junipero communis-Betuletum glandulosae,1000,135,-9999,65,0,20,0,15,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association occupy solifluction lobes at low elevation near treeline (Cooper 1986)."
474,11044,Ass. Junipero communis-Betuletum glandulosae,820,135,-9999,35,0,5,0,0,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association occupy solifluction lobes at low elevation near treeline (Cooper 1986)."
475,11045,Ass. Junipero communis-Betuletum glandulosae,840,135,-9999,25,0,10,0,5,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association occupy solifluction lobes at low elevation near treeline (Cooper 1986)."
476,11046,Ass. Junipero communis-Betuletum glandulosae,850,135,-9999,40,0,15,0,1,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association occupy solifluction lobes at low elevation near treeline (Cooper 1986)."
477,11047,Ass. Junipero communis-Betuletum glandulosae,820,135,-9999,25,0,10,0,1,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association occupy solifluction lobes at low elevation near treeline (Cooper 1986)."
109,11048,Ass. Boykineo richardsoni-Dryadetum octopetalae octopetalae,-9999,-9999,-9999,90,0,0,0,0,Stands occur in late-lying snowpatches on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
228,11049,Ass. Boykinio richardsonii-Dryadetum alaskensis,1150,360,-9999,25,0,10,0,1,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
104,11050,Ass. Boykineo richardsoni-Dryadetum octopetalae octopetalae,-9999,-9999,-9999,65,0,5,0,10,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
282,11051,Ass. Boykineo richardsoni-Dryadetum octopetalae octopetalae,-9999,-9999,-9999,65,0,5,0,5,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
283,11052,Ass. Boykinio richardsonii-Dryadetum alaskensis,1030,315,-9999,35,0,5,0,5,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
78,11053,Ass. Boykinio richardsonii-Dryadetum alaskensis,1030,45,-9999,65,0,15,0,5,Cetraria islandica in Seedlings layer = original Cetraria islandica reticulata. Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
79,11054,Ass. Boykinio richardsonii-Dryadetum alaskensis,1040,360,-9999,75,0,6,0,6,Cetraria islandica in Seedlings layer = original Cetraria islandica reticulata. Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
86,11055,Ass. Boykineo richardsoni-Dryadetum octopetalae octopetalae,-9999,-9999,-9999,75,0,20,1,0,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
87,11056,Ass. Boykineo richardsoni-Dryadetum octopetalae octopetalae,-9999,-9999,-9999,55,0,15,5,8,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
154,11057,Ass. Boykinio richardsonii-Dryadetum alaskensis,1240,45,-9999,70,0,20,10,10,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
85,11058,Ass. Boykineo richardsoni-Dryadetum octopetalae octopetalae,-9999,-9999,-9999,70,0,20,0,5,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
155,11059,Ass. Boykinio richardsonii-Dryadetum alaskensis,1250,360,-9999,65,0,25,10,20,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
76,11060,Ass. Boykinio richardsonii-Dryadetum alaskensis,1210,315,-9999,20,0,15,0,0,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
84,11061,Ass. Boykineo richardsoni-Dryadetum octopetalae octopetalae,-9999,-9999,-9999,55,0,8,5,5,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
128,11062,Ass. Boykinio richardsonii-Dryadetum alaskensis,1220,360,-9999,65,0,38,0,15,Catapyrenium rufescens = original Dermatocarpon lachneum. Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
129,11063,Ass. Boykinio richardsonii-Dryadetum alaskensis,1220,360,-9999,60,0,25,3,15,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
235,11064,Ass. Boykinio richardsonii-Dryadetum alaskensis,1200,45,-9999,65,0,25,0,5,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
236,11065,Ass. Boykinio richardsonii-Dryadetum alaskensis,1060,45,-9999,65,0,20,0,5,Cladonia acuminata = original Cladonia norrlinii. Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
329,11066,Ass. Boykinio richardsonii-Dryadetum alaskensis,1060,45,-9999,0,0,25,0,10,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
349,11067,Ass. Boykineo richardsoni-Dryadetum octopetalae octopetalae,-9999,-9999,-9999,85,0,7,2,4,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
307,11068,Ass. Boykinio richardsonii-Dryadetum alaskensis,980,360,-9999,5,0,0,0,0,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
507,11069,Ass. Boykineo richardsoni-Dryadetum octopetalae octopetalae,-9999,-9999,-9999,30,0,15,0,10,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
308,11070,Ass. Boykinio richardsonii-Dryadetum alaskensis,970,360,-9999,10,0,0,0,0,Stands occur in late-lying snowbeds on rocky north-facing slopes where snow persists into mid-June and may occur on limestone or granite. The humus layer may be up to 20 cm thick (Cooper 1986). 
116,11071,Ass. Boykineo richardsoni-Dryadetum octopetalae octopetalae,-9999,-9999,-9999,65,0,8,0,5,Snowbeds that occurs in depressions primarily on limestone slopes (Cooper 1983).
103,11072,Ass. Cassiopo tetragonae-Dryadetum alaskensis,1060,315,-9999,65,0,15,0,5,"Association Carici scirpoideae-Cassiopetum tetragonae - original name used in unpublished thesis (Cooper 1983). Stands occur on mesic slopes in early to moderately late-lying snowbeds, which are very well-drained and the soil surface may be dry in summer (Cooper 1986)."
107,11073,Ass. Carici scirpoideae-Cassiopetum tetragonae,-9999,-9999,-9999,75,0,0,0,0,Snowbeds that occur in depressions primarily on limestone slopes (Cooper 1983).
108,11074,Ass. Carici scirpoideae-Cassiopetum tetragonae,-9999,-9999,-9999,45,0,0,0,0,Snowbeds that occur in depressions primarily on limestone slopes (Cooper 1983).
385,11075,Ass. Carici scirpoideae-Cassiopetum tetragonae,-9999,-9999,-9999,85,0,4,0,10,Snowbeds that occur in depressions primarily on limestone slopes (Cooper 1983).
120,11076,Ass. Cassiopo tetragonae-Dryadetum alaskensis,1200,90,-9999,65,0,20,6,20,"Association Carici scirpoideae-Cassiopetum tetragonae - original name used in unpublished thesis (Cooper 1983). Stands occur on mesic slopes in early to moderately late-lying snowbeds, which are very well-drained and the soil surface may be dry in summer (Cooper 1986)."
121,11077,Ass. Cassiopo tetragonae-Dryadetum alaskensis,1210,90,-9999,50,0,20,6,10,"Association Carici scirpoideae-Cassiopetum tetragonae - original name used in unpublished thesis (Cooper 1983). Stands occur on mesic slopes in early to moderately late-lying snowbeds, which are very well-drained and the soil surface may be dry in summer (Cooper 1986)."
122,11078,Ass. Cassiopo tetragonae-Dryadetum alaskensis,1210,90,-9999,60,0,15,0,30,"Association Carici scirpoideae-Cassiopetum tetragonae - original name used in unpublished thesis (Cooper 1983). Stands occur on mesic slopes in early to moderately late-lying snowbeds, which are very well-drained and the soil surface may be dry in summer (Cooper 1986)."
130,11079,Ass. Cassiopo tetragonae-Dryadetum alaskensis,1270,90,-9999,65,0,15,10,15,"Cladonia acuminata=in original Cladonia norrlinii; Association Carici scirpoideae-Cassiopetum tetragonae - original name used in unpublished thesis (Cooper 1983). Stands occur on mesic slopes in early to moderately late-lying snowbeds, which are very well-drained and the soil surface may be dry in summer (Cooper 1986)."
131,11080,Ass. Cassiopo tetragonae-Dryadetum alaskensis,1280,90,-9999,75,0,15,1,10,"Association Carici scirpoideae-Cassiopetum tetragonae - original name used in unpublished thesis (Cooper 1983). Stands occur on mesic slopes in early to moderately late-lying snowbeds, which are very well-drained and the soil surface may be dry in summer (Cooper 1986)."
138,11081,Ass. Carici scirpoideae-Cassiopetum tetragonae,-9999,-9999,-9999,25,0,1,10,1,Snowbeds that occur in depressions primarily on limestone slopes (Cooper 1983).
139,11082,Ass. Cassiopo tetragonae-Dryadetum alaskensis,1180,90,-9999,75,0,6,5,10,"Association Carici scirpoideae-Cassiopetum tetragonae - original name used in unpublished thesis (Cooper 1983). Stands occur on mesic slopes in early to moderately late-lying snowbeds, which are very well-drained and the soil surface may be dry in summer (Cooper 1986)."
342,11083,Ass. Cassiopo tetragonae-Dryadetum alaskensis,1090,315,-9999,40,0,10,2,5,"Cetraria islandica in Seedlings layer = original Cetraria islandica reticulata; Association Carici scirpoideae-Cassiopetum tetragonae - original name used in unpublished thesis (Cooper 1983). Stands occur on mesic slopes in early to moderately late-lying snowbeds, which are very well-drained and the soil surface may be dry in summer (Cooper 1986)."
344,11084,Ass. Cassiopo tetragonae-Dryadetum alaskensis,1100,315,-9999,45,0,9,10,20,"Association Carici scirpoideae-Cassiopetum tetragonae - original name used in unpublished thesis (Cooper 1983). Stands occur on mesic slopes in early to moderately late-lying snowbeds, which are very well-drained and the soil surface may be dry in summer (Cooper 1986)."
294,11085,Ass. Cassiopo tetragonae-Dryadetum alaskensis,980,90,-9999,95,0,0,0,0,"Association Carici scirpoideae-Cassiopetum tetragonae - original name used in unpublished thesis (Cooper 1983). Stands occur on mesic slopes in early to moderately late-lying snowbeds, which are very well-drained and the soil surface may be dry in summer (Cooper 1986)."
295,11086,Ass. Carici scirpoideae-Cassiopetum tetragonae,-9999,-9999,-9999,98,0,0,0,0,Snowbeds that occur in depressions primarily on limestone slopes (Cooper 1983).
296,11087,Ass. Carici scirpoideae-Cassiopetum tetragonae,-9999,-9999,-9999,96,0,0,0,3,Snowbeds that occur in depressions primarily on limestone slopes (Cooper 1983).
297,11088,Ass. Carici scirpoideae-Cassiopetum tetragonae,-9999,-9999,-9999,98,0,0,0,3,Snowbeds that occur in depressions primarily on limestone slopes (Cooper 1983).
298,11089,Ass. Carici scirpoideae-Cassiopetum tetragonae,-9999,-9999,-9999,95,0,0,0,0,Snowbeds that occur in depressions primarily on limestone slopes (Cooper 1983).
160,11090,Ass. Salicetum reticulatae-Dryadetum alaskensis,-9999,-9999,-9999,35,0,10,30,40,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
161,11091,Ass. Salicetum reticulatae-Dryadetum alaskensis,-9999,-9999,-9999,30,0,15,45,50,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
149,11092,Ass. Salicetum reticulatae-Dryadetum alaskensis,1460,135,-9999,45,0,0,0,0,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
150,11093,Ass. Salicetum reticulatae-Dryadetum alaskensis,1450,225,-9999,60,0,10,0,8,Cetraria islandica in Seedlings layer = original Cetraria islandica reticulata. Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
151,11094,Ass. Salicetum reticulatae-Dryadetum alaskensis,1410,135,-9999,45,0,15,0,25,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
145,11095,Ass. Salicetum reticulatae-Dryadetum alaskensis,1280,135,-9999,40,0,25,15,30,Cetraria islandica in Seedlings layer = original Cetraria islandica reticulata. Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
146,11096,Ass. Salicetum reticulatae-Dryadetum alaskensis,1300,225,-9999,65,0,20,3,20,Cetraria islandica in Seedlings layer = original Cetraria islandica reticulata. Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
147,11097,Ass. Salicetum reticulatae-Dryadetum alaskensis,1270,135,-9999,25,0,16,5,15,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
246,11098,Ass. Salicetum reticulatae-Dryadetum alaskensis,1180,225,-9999,65,0,2,0,25,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
239,11099,Ass. Salicetum reticulatae-Dryadetum alaskensis,1200,225,-9999,25,0,8,0,3,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
243,11100,Ass. Salicetum reticulatae-Dryadetum alaskensis,1210,225,-9999,85,0,3,0,4,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
48,11101,Ass. Salicetum reticulatae-Dryadetum alaskensis,-9999,-9999,-9999,20,0,35,0,40,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
309,11102,Ass. Salicetum reticulatae-Dryadetum alaskensis,1000,225,-9999,98,0,0,0,0,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
310,11103,Ass. Salicetum reticulatae-Dryadetum alaskensis,1010,225,-9999,95,0,0,0,8,Snowbeds. Stands occur in shallow depressions on mid to upper southwest- and southeast-facing limestone slopes where snowmelt timing affects species composition (Cooper 1986). 
